;GmlId;objectid;cd_snisb;nm_barragem;nm_secundario;uso_principal;uf;municipio;risco;dano_potencial;nm_empreendedor;tp_empreendedor;org_fiscalizador;cd_bar_fiscalizador;regulada_pnsb;nm_autorizacao;pae;psb;rev_periodica;dt_ult_fiscalizacao;barragem_autuada;altura_fundacao_m;altura_terreno_m;capacidade_hm3;comp_coroamento_m;tp_material;uso_complementar;cd_curso_agua_barrado;nm_curso_agua;regiao_hidrografica;unidade_gestao;dt_ult_inspecao;tp_ult_inspecao;nv_perigo_global;possui_eclusa;fase_vida;latitude;longitude;completude_dados;barragem_outorgada;empreendedor_identificado;info_altura;maior_altura;faixa_altura;info_volume;fx_volume;info_altura_volume;classificada_cri;classificada_dpa;inspecao;fiscalização;mais_preocupa;n;sequencia;cd_ibge;nome_mun;corede;regiao_func;Shape
2720;Cadastro_SNISB_20230720.2721;2721;5666.0;*23300567080;;Irrigação;RS;ALEGRETE;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0595/2009;Sim;0595/2009;;Não;Não;;Não;;0.0;3.047;0.0;Terra;;826154.0;SEM NOME;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.54778;-56.10389;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 3 e 5 hm³;Não;Não;Sim;Não;Não;Não;1;6328.0;4300406;Alegrete;Fronteira Oeste;6;POINT (-56.10389000 -29.54778000)
2721;Cadastro_SNISB_20230720.2722;2722;5680.0;*135000000000;;Irrigação;RS;ITAQUI;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0284/2010;Sim;0284/2010;;Não;Não;;Não;;0.0;3.789;0.0;Terra;;82616.0;Restinga de São Solano;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.16417;-56.08;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 3 e 5 hm³;Não;Não;Sim;Não;Não;Não;1;6330.0;4310603;Itaqui;Fronteira Oeste;6;POINT (-56.08000000 -29.16417000)
2722;Cadastro_SNISB_20230720.2723;2723;5681.0;*67490567097;;Irrigação;RS;MAÇAMBARÁ;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1561/09;Sim;1561/09;;Não;Não;;Não;5,3;0.0;3.252;0.0;Terra;;8271438.0;SEM NOME;Região Hidrográfica do URUGUAI;Butuí-Icamaquã;;;;;;-28.93444;-56.07139;mínima;Sim;Sim;Sim;5.3;"h &lt; 7,5 m";Sim;Pequena entre 3 e 5 hm³;Sim;Não;Sim;Não;Não;Não;1;6331.0;4311718;Maçambará;Fronteira Oeste;6;POINT (-56.07139000 -28.93444000)
2723;Cadastro_SNISB_20230720.2724;2724;6096.0;*161000000000;;Irrigação;RS;DOM PEDRITO;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0907/2015;Sim;0907/2015;;Não;Não;;Não;;0.0;0.179;0.0;Terra;;826.0;Rio Santa Maria;Região Hidrográfica do URUGUAI;Santa Maria;;;;;;-31.25445;-54.47795;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;6332.0;4306601;Dom Pedrito;Campanha;6;POINT (-54.47795000 -31.25445000)
2733;Cadastro_SNISB_20230720.2734;2734;5689.0;*2240567087;;Irrigação;RS;ALEGRETE;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0482/2008;Sim;0482/2008;;Não;Não;;Não;;0.0;0.318;0.0;Terra;;826154.0;SEM NOME;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.53139;-56.04667;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;6349.0;4300406;Alegrete;Fronteira Oeste;6;POINT (-56.04667000 -29.53139000)
2735;Cadastro_SNISB_20230720.2736;2736;5696.0;*88390567098;;Irrigação;RS;URUGUAIANA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1658/09;Sim;1658/09;;Não;Não;;Não;8,6;0.0;4.403;0.0;Terra;;825192.0;Arroio do Salso;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.81639;-57.03722;mínima;Sim;Sim;Sim;8.6;"7,5 m &lt; h &lt; 15 m";Sim;Pequena entre 3 e 5 hm³;Sim;Não;Sim;Não;Não;Não;1;6351.0;4322400;Uruguaiana;Fronteira Oeste;6;POINT (-57.03722000 -29.81639000)
2736;Cadastro_SNISB_20230720.2737;2737;5701.0;*54320500070;;Irrigação;RS;ALEGRETE;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1185/2007;Sim;1185/2007;;Não;Não;;Não;;0.0;2.653;0.0;Terra;;826212.0;Restinga do Umbu;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.48;-56.03333;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 1 e 3 hm³;Não;Não;Sim;Não;Não;Não;1;6352.0;4300406;Alegrete;Fronteira Oeste;6;POINT (-56.03333000 -29.48000000)
2737;Cadastro_SNISB_20230720.2738;2738;5702.0;*117000000000;;Irrigação;RS;SÃO BORJA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;238/2007;Sim;238/2007;;Não;Não;;Não;7,5;0.0;1.054;0.0;Terra;;827172.0;SEM NOME;Região Hidrográfica do URUGUAI;Butuí-Icamaquã;;;;;;-28.72472;-56.02722;mínima;Sim;Sim;Sim;7.5;"h &lt; 7,5 m";Sim;Pequena entre 1 e 3 hm³;Sim;Não;Sim;Não;Não;Não;1;6353.0;4318002;São Borja;Fronteira Oeste;6;POINT (-56.02722000 -28.72472000)
2739;Cadastro_SNISB_20230720.2740;2740;5711.0;*94450567085;;Irrigação;RS;SÃO BORJA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1378/08;Sim;1378/08;;Não;Não;;Não;;0.0;1.395;0.0;Terra;;827172.0;SEM NOME;Região Hidrográfica do URUGUAI;Butuí-Icamaquã;;;;;;-28.75194;-56.00861;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 1 e 3 hm³;Não;Não;Sim;Não;Não;Não;1;6355.0;4318002;São Borja;Fronteira Oeste;6;POINT (-56.00861000 -28.75194000)
2741;Cadastro_SNISB_20230720.2742;2742;6121.0;*46620567129;;Irrigação;RS;SÃO GABRIEL;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0883/2014;Sim;0883/2014;;Não;Não;;Não;6;0.0;0.434;0.0;Terra;;7968962.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Vacacaí-Vacacaí Mirim;;;;;;-30.17028;-54.33611;mínima;Sim;Sim;Sim;6.0;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;6357.0;4318309;São Gabriel;Fronteira Oeste;6;POINT (-54.33611000 -30.17028000)
2743;Cadastro_SNISB_20230720.2744;2744;6129.0;*142000000000;;Irrigação;RS;BAGÉ;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0290/12;Sim;0290/12;;Não;Não;;Não;;0.0;11.379;0.0;Terra;;8226.0;Rio Negro;Região Hidrográfica do URUGUAI;Negro;;;;;;-31.52;-54.30389;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Média;Não;Não;Sim;Não;Não;Não;1;6359.0;4301602;Bagé;Campanha;6;POINT (-54.30389000 -31.52000000)
2750;Cadastro_SNISB_20230720.2751;2751;6137.0;*11940567135;;Irrigação;RS;SANTA MARGARIDA DO SUL;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1297/2014;Sim;1297/2014;;Não;Não;;Não;6;0.0;0.188;0.0;Terra;;79689772.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Vacacaí-Vacacaí Mirim;;;;;;-30.42389;-54.24611;mínima;Sim;Sim;Sim;6.0;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;6370.0;4316972;Santa Margarida do Sul;Fronteira Oeste;6;POINT (-54.24611000 -30.42389000)
2756;Cadastro_SNISB_20230720.2757;2757;5738.0;*51440567097;;Irrigação;RS;SÃO BORJA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0713/10;Sim;0713/10;;Não;Não;;Não;;0.0;0.875;0.0;Terra;;82718.0;Rio Icamaquã;Região Hidrográfica do URUGUAI;Butuí-Icamaquã;;;;;;-28.52694;-55.96333;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;6384.0;4318002;São Borja;Fronteira Oeste;6;POINT (-55.96333000 -28.52694000)
2763;Cadastro_SNISB_20230720.2764;2764;5340.0;*24520500072;;Irrigação;RS;URUGUAIANA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0565/2007;Sim;0565/2007;;Não;Não;;Não;;0.0;1.406;0.0;Terra;;82512.0;Arroio Guaraputan;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.88278;-57.27167;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 1 e 3 hm³;Não;Não;Sim;Não;Não;Não;1;6392.0;4322400;Uruguaiana;Fronteira Oeste;6;POINT (-57.27167000 -29.88278000)
2764;Cadastro_SNISB_20230720.2765;2765;5342.0;*24490500070;;Irrigação;RS;URUGUAIANA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0563/2007;Sim;0563/2007;;Não;Não;;Não;;0.0;3.389;0.0;Terra;;82512.0;Arroio Guaraputan;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.91167;-57.25889;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 3 e 5 hm³;Não;Não;Sim;Não;Não;Não;1;6393.0;4322400;Uruguaiana;Fronteira Oeste;6;POINT (-57.25889000 -29.91167000)
2766;Cadastro_SNISB_20230720.2767;2767;5785.0;*15690567098;;Irrigação;RS;SÃO BORJA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1540/09;Sim;1540/09;;Não;Não;;Não;5;0.0;0.058;0.0;Terra;;8271916.0;SEM NOME;Região Hidrográfica do URUGUAI;Piratinim;;;;;;-28.38472;-55.85306;mínima;Sim;Sim;Sim;5.0;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;6395.0;4318002;São Borja;Fronteira Oeste;6;POINT (-55.85306000 -28.38472000)
2767;Cadastro_SNISB_20230720.2768;2768;6194.0;*42300567109;;Irrigação;RS;DILERMANDO DE AGUIAR;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0750/10;Sim;0750/10;;Não;Não;;Não;7,3;0.0;0.316;0.0;Terra;;796886.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Vacacaí-Vacacaí Mirim;;;;;;-29.83361;-54.03472;mínima;Sim;Sim;Sim;7.3;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;6396.0;4306379;Dilermando de Aguiar;Central;8;POINT (-54.03472000 -29.83361000)
2768;Cadastro_SNISB_20230720.2769;2769;6202.0;*68910567106;;Irrigação;RS;SÃO GABRIEL;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1053/10;Sim;1053/10;;Não;Não;;Não;7,6;0.0;1.23;0.0;Terra;;79688.0;Arroio dos Lourenços;Região Hidrográfica ATLÂNTICO SUL;Vacacaí-Vacacaí Mirim;;;;;;-29.99056;-54.01583;mínima;Sim;Sim;Sim;7.6;"7,5 m &lt; h &lt; 15 m";Sim;Pequena entre 1 e 3 hm³;Sim;Não;Sim;Não;Não;Não;1;6397.0;4318309;São Gabriel;Fronteira Oeste;6;POINT (-54.01583000 -29.99056000)
2771;Cadastro_SNISB_20230720.2772;2772;5800.0;*133000000000;;Irrigação;RS;SÃO BORJA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0468/11;Sim;0468/11;;Não;Não;;Não;6;0.0;4.08;0.0;Terra;;82714.0;Rio Butuí;Região Hidrográfica do URUGUAI;Butuí-Icamaquã;;;;;;-28.96639;-55.81;mínima;Sim;Sim;Sim;6.0;"h &lt; 7,5 m";Sim;Pequena entre 3 e 5 hm³;Sim;Não;Sim;Não;Não;Não;1;6400.0;4318002;São Borja;Fronteira Oeste;6;POINT (-55.81000000 -28.96639000)
2773;Cadastro_SNISB_20230720.2774;2774;5818.0;*134000000000;;Irrigação;RS;SÃO BORJA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1305/10;Sim;1305/10;;Não;Não;;Não;6;0.0;0.349;0.0;Terra;;82718162.0;SEM NOME;Região Hidrográfica do URUGUAI;Butuí-Icamaquã;;;;;;-28.64806;-55.76167;mínima;Sim;Sim;Sim;6.0;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;6402.0;4318002;São Borja;Fronteira Oeste;6;POINT (-55.76167000 -28.64806000)
2774;Cadastro_SNISB_20230720.2775;2775;6217.0;*142000000000;;Irrigação;RS;HULHA NEGRA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0896/11;Sim;0896/11;;Não;Não;;Não;;0.0;0.38;0.0;Terra;;8226.0;Rio Negro;Região Hidrográfica do URUGUAI;Negro;;;;;;-31.41278;-53.87973;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;6405.0;4309654;Hulha Negra;Campanha;6;POINT (-53.87973000 -31.41278000)
2775;Cadastro_SNISB_20230720.2776;2776;6241.0;*9300500070;;Irrigação;RS;JÚLIO DE CASTILHOS;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1457/2007;Sim;1457/2007;;Não;Não;;Não;8;0.0;0.044;0.0;Terra;;826682.0;Arroio Pessegueiro;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.27611;-53.755;mínima;Sim;Sim;Sim;8.0;"7,5 m &lt; h &lt; 15 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;6406.0;4311205;Júlio de Castilhos;Central;8;POINT (-53.75500000 -29.27611000)
2780;Cadastro_SNISB_20230720.2781;2781;5381.0;*104000000000;;Irrigação;RS;URUGUAIANA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0046/2006;Sim;0046/2006;;Não;Não;;Não;;0.0;0.226;0.0;Terra;;825184.0;Sanga do Meio;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.82722;-57.11194;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;6411.0;4322400;Uruguaiana;Fronteira Oeste;6;POINT (-57.11194000 -29.82722000)
2781;Cadastro_SNISB_20230720.2782;2782;5382.0;*75030567086;;Irrigação;RS;URUGUAIANA;Não Classificado;Alto;Condomínio Agropecuário Ceolin;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0041/2009;Sim;0041/2009;;Não;Não;;Não;;0.0;1.644;0.0;Terra;;82518.0;Arroio Ipapitocai;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.87861;-57.09944;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 1 e 3 hm³;Não;Não;Sim;Não;Não;Não;1;6412.0;4322400;Uruguaiana;Fronteira Oeste;6;POINT (-57.09944000 -29.87861000)
2782;Cadastro_SNISB_20230720.2783;2783;5383.0;*71330567100;;Irrigação;RS;URUGUAIANA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0995/2010;Sim;0995/2010;;Não;Não;;Não;;0.0;3.0;0.0;Terra;;82518.0;Arroio Ipapitocai;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.91778;-57.09611;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 1 e 3 hm³;Não;Não;Sim;Não;Não;Não;1;6413.0;4322400;Uruguaiana;Fronteira Oeste;6;POINT (-57.09611000 -29.91778000)
2783;Cadastro_SNISB_20230720.2784;2784;5397.0;*67460567099;;Irrigação;RS;URUGUAIANA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1506/2009;Sim;1506/2009;;Não;Não;;Não;;0.0;0.333;0.0;Terra;;82518.0;Arroio Ipapitocai;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.84;-56.98167;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;6414.0;4322400;Uruguaiana;Fronteira Oeste;6;POINT (-56.98167000 -29.84000000)
2785;Cadastro_SNISB_20230720.2786;2786;5826.0;*135000000000;;Irrigação;RS;SÃO BORJA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;491/2015;Sim;491/2015;;Não;Não;;Não;6,7;0.0;0.446;0.0;Terra;;8271462.0;Sanga Capiati;Região Hidrográfica do URUGUAI;Butuí-Icamaquã;;;;;;-28.82528;-55.74417;mínima;Sim;Sim;Sim;6.7;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;6416.0;4318002;São Borja;Fronteira Oeste;6;POINT (-55.74417000 -28.82528000)
2786;Cadastro_SNISB_20230720.2787;2787;6250.0;*55810500067;;Irrigação;RS;SÃO SEPÉ;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1539/09;Sim;1539/09;;Não;Não;;Não;9;0.0;0.06;0.0;Terra;;796876.0;Sanga Trancoso;Região Hidrográfica ATLÂNTICO SUL;Vacacaí-Vacacaí Mirim;;;;;;-30.20306;-53.735;mínima;Sim;Sim;Sim;9.0;"7,5 m &lt; h &lt; 15 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;6419.0;4319604;São Sepé;Jacuí Centro;8;POINT (-53.73500000 -30.20306000)
2806;Cadastro_SNISB_20230720.2807;2807;6354.0;*132000000000;;Irrigação;RS;IBIRUBÁ;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1753/2008;Sim;1753/2008;;Não;Não;;Não;10;0.0;0.195;0.0;Terra;;7969844.0;Arroio Lagoão;Região Hidrográfica ATLÂNTICO SUL;Alto Jacuí;;;;;;-28.60306;-53.37111;mínima;Sim;Sim;Sim;10.0;"7,5 m &lt; h &lt; 15 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;6441.0;4310009;Ibirubá;Alto Jacuí;8;POINT (-53.37111000 -28.60306000)
2808;Cadastro_SNISB_20230720.2809;2809;6376.0;*141000000000;;Irrigação;RS;JAGUARÃO;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0261/11;Sim;0261/11;;Não;Não;;Não;;0.0;3.89;0.0;Terra;;7983946.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Mirim São Gonçalo;;;;;;-32.48334;-53.28195;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 3 e 5 hm³;Não;Não;Sim;Não;Não;Não;1;6452.0;4311007;Jaguarão;Sul;5;POINT (-53.28195000 -32.48334000)
2809;Cadastro_SNISB_20230720.2810;2810;6380.0;*109000000000;;Irrigação;RS;FORTALEZA DOS VALOS;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1359/2009;Sim;1359/2009;;Não;Não;;Não;6;0.0;0.042;0.0;Terra;;796972.0;Rio Ingaí;Região Hidrográfica ATLÂNTICO SUL;Alto Jacuí;;;;;;-28.91111;-53.23833;mínima;Sim;Sim;Sim;6.0;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;6453.0;4308458;Fortaleza dos Valos;Alto Jacuí;8;POINT (-53.23833000 -28.91111000)
2810;Cadastro_SNISB_20230720.2811;2811;6389.0;*108000000000;;Irrigação;RS;RESTINGA SECA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0661/2011;Sim;0661/2011;;Não;Não;;Não;;0.0;0.929;0.0;Terra;;79692.0;Rio Vacacaí-mirim;Região Hidrográfica ATLÂNTICO SUL;Vacacaí-Vacacaí Mirim;;;;;;-29.91722;-53.20556;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;6454.0;4315503;Restinga Sêca;Jacuí Centro;8;POINT (-53.20556000 -29.91722000)
2811;Cadastro_SNISB_20230720.2812;2812;6399.0;*33830567085;;Irrigação;RS;CACHOEIRA DO SUL;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0476/09;Sim;0476/09;;Não;Não;;Não;3,6;0.0;0.02;0.0;Terra;;7968214.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Vacacaí-Vacacaí Mirim;;;;;;-30.00417;-53.15361;mínima;Sim;Sim;Sim;3.6;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;6470.0;4303004;Cachoeira do Sul;Jacuí Centro;8;POINT (-53.15361000 -30.00417000)
2817;Cadastro_SNISB_20230720.2818;2818;6449.0;*76510500064;;Irrigação;RS;ARROIO GRANDE;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1109/07;Sim;1109/07;;Não;Não;;Não;5,5;0.0;10.165;0.0;Terra;;7983134.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Mirim São Gonçalo;;;;;;-32.08778;-52.67083;mínima;Sim;Sim;Sim;5.5;"h &lt; 7,5 m";Sim;Média;Sim;Não;Sim;Não;Não;Não;1;6488.0;4301305;Arroio Grande;Sul;5;POINT (-52.67083000 -32.08778000)
2819;Cadastro_SNISB_20230720.2820;2820;6464.0;*102000000000;;Irrigação;RS;PELOTAS;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1342/05;Sim;1342/05;;Não;Não;;Não;;0.0;0.825;0.0;Terra;;798132.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Mirim São Gonçalo;;;;;;-31.69612;-52.43168;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;6490.0;4314407;Pelotas;Sul;5;POINT (-52.43168000 -31.69612000)
2820;Cadastro_SNISB_20230720.2821;2821;5109.0;PCH Passo do Meio - Passo do Meio;;Hidroelétrica;RS;SÃO FRANCISCO DE PAULA;Baixo;Alto;ENERGÉTICA CAMPOS DE CIMA DA SERRA LTDA;Empresas em Geral - Privado;Agência Nacional de Energia Elétrica - ANEEL;1713;Sim;227;Sim;Sim;Sim;;Não;30,58;24.25;27.14;182.04;Concreto compactado a rolo (CCR);;7966.0;Rio das Antas;Região Hidrográfica ATLÂNTICO SUL;Taquari-Antas;;;;;Operação;-28.8167;-50.6167;boa;Sim;Sim;Sim;30.58;"30 m &lt; h &lt; 60 m";Sim;Média;Sim;Sim;Sim;Não;Não;Não;1;6495.0;4318200;São Francisco de Paula;Hortênsias;3;POINT (-50.61670000 -28.81670000)
2821;Cadastro_SNISB_20230720.2822;2822;6522.0;*17950567137;;Irrigação;RS;CAMAQUÃ;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1380/2014;Sim;1380/2014;;Não;Não;;Não;;0.0;4.501;0.0;Terra;;79754.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Camaquã;;;;;;-31.08365;-51.64457;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 3 e 5 hm³;Não;Não;Sim;Não;Não;Não;1;6506.0;4303509;Camaquã;Centro Sul;1;POINT (-51.64457000 -31.08365000)
2822;Cadastro_SNISB_20230720.2823;2823;5183.0;UHE Monjolinho (Antiga Alzir dos Santos Antunes) - MONJOLINHO;;Hidroelétrica;RS;FAXINALZINHO;Baixo;Alto;STATKRAFT ENERGIAS RENOVÁVEIS S/A;Empresas em Geral - Privado;Agência Nacional de Energia Elétrica - ANEEL;1953;Sim;018/2002;Sim;Sim;Sim;;Não;74;74.0;150.48;420.0;Enrocamento;;82792.0;Rio Passo Fundo;Região Hidrográfica do URUGUAI;Passo Fundo;;;;;Operação;-27.3461;-52.7314;boa;Sim;Sim;Sim;74.0;"60 m &lt; h &lt; 100";Sim;Grande;Sim;Sim;Sim;Não;Não;Não;1;6517.0;4308052;Faxinalzinho;Norte;9;POINT (-52.73140000 -27.34610000)
2826;Cadastro_SNISB_20230720.2827;2827;6268.0;*93780567102;;Irrigação;RS;SÃO SEPÉ;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0731/11;Sim;0731/11;;Não;Não;;Não;6,5;0.0;0.291;0.0;Terra;;7968.0;Rio Vacacaí;Região Hidrográfica ATLÂNTICO SUL;Vacacaí-Vacacaí Mirim;;;;;;-29.96417;-53.69167;mínima;Sim;Sim;Sim;6.5;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;6539.0;4319604;São Sepé;Jacuí Centro;8;POINT (-53.69167000 -29.96417000)
2831;Cadastro_SNISB_20230720.2832;2832;6307.0;*94560500058;;Irrigação;RS;DOIS IRMÃOS DAS MISSÕES;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;17/2006;Sim;17/2006;;Não;Não;;Não;;0.0;0.023;0.0;Terra;;8275672.0;Lajeado Taboão;Região Hidrográfica do URUGUAI;Várzea;;;;;;-27.69306;-53.53833;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;6560.0;4306429;Dois Irmãos das Missões;Médio Alto Uruguai;9;POINT (-53.53833000 -27.69306000)
